"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Orbach L.; Silva-Chelles E.; de Salles J.F.","Orbach, Lars (57214148956); Silva-Chelles, Emanuelle (59507206800); de Salles, Jerusa Fumagalli (15076667400)","57214148956; 59507206800; 15076667400","Exploring the interrelationships of children's mental health, socioeconomic status, and math performance: Cross-cultural patterns in Brazil and Germany","2025","Review of Education","13","3","e70106","","","1","10.1002/rev3.70106","https://www.scopus.com/pages/publications/105015155560?origin=resultslist","Children worldwide are currently facing a multitude of crises that are negatively impacting their mental health and academic performance. Three years after the onset of the COVID-19 pandemic, their mental health remains impaired, and profound learning gaps have been identified. Both factors are influenced by socioeconomic status (SES), which raises the question of a vicious circle that may impede children's future participation in society. The present study aims to provide further insights into this interplay by analysing cross-cultural data with traditional linear and latent profile analyses (LPA) from Brazil and Germany. Mental health problems (emotional problems, hyperactivity, conduct problems, peer problems, state-math anxiety [state-MA]), health-related quality of life, SES and math performance were assessed in 589 German third to sixth graders (50.1% girls) and 403 Brazilian third to sixth graders (50.6% girls). The results indicated that in both countries, state-MA and SES were stable predictors of math fluency, while cross-cultural differences were identified for trait-assessments of mental health problems, indicating cultural differences in the state–trait-discrepancy. The link between mental health problems and math fluency was not moderated by SES. LPA revealed basic profiles of mental health, SES, and math fluency in both countries, mostly characterised by different levels of MA and quality of life. In addition to profiles associated with math difficulties, there was evidence of resilient groups. The findings underline the complexity of the relationship between mental health and math performance and raises questions about cultural differences in the self-assessment of mental health traits. Implications for future research are discussed. Context and implications Rationale for this study: This study examines the interaction between children's mental health, socioeconomic status (SES) and math performance in Brazil and Germany. It addresses the absence of cross-cultural research that considers these factors together, particularly in light of the widening learning gaps and impaired child wellbeing caused by the COVID-19 pandemic. Why the new findings matter: The results show that maths-specific state anxiety and SES consistently predict maths performance, while cultural differences influence how children report mental health issues. Importantly, resilient subgroups emerge, demonstrating that strong performance and well-being are possible despite adversity. Implications for policymakers, practitioners and researchers: Policymakers should address SES-related inequalities and incorporate mental health into education programmes. Practitioners can focus on reducing math anxiety and fostering resilience in the classroom. Researchers are encouraged to adopt longitudinal, cross-cultural approaches and refine culturally sensitive assessment tools. © 2025 British Educational Research Association.","Brazil; cross-cultural comparison; Germany; math performance; mental health; socioeconomic status","","Article","Final","","Scopus","2-s2.0-105015155560"
"Geary D.C.; Hoard M.K.; Nugent L.; Ünal Z.E.; Greene N.R.","Geary, David C. (7102892794); Hoard, Mary K. (7003832295); Nugent, Lara (7003381177); Ünal, Zehra E. (57216770332); Greene, Nathaniel R. (57200544800)","7102892794; 7003832295; 7003381177; 57216770332; 57200544800","Sex Differences and Similarities in Relations Between Mathematics Achievement, Attitudes, and Anxiety: A Seventh-to-Ninth Grade Longitudinal Study","2023","Journal of Educational Psychology","115","5","","767","782","14","10.1037/edu0000793","https://www.scopus.com/pages/publications/85168840824?origin=resultslist","There are consistent correlations between mathematics achievement, attitudes, and anxiety, but the longitudinal relations among these constructs are not well understood nor are sex differences in these relations. To address this gap, mathematics achievement, attitudes, and anxiety were longitudinally assessed for 342 (169 boys) adolescents from seventh to ninth grade, inclusive, and latent growth curve models (LGCM) were used to assess the relations among these traits and developmental change in them. Spatial abilities (seventh and eighth grades) and trait anxiety (eighth and ninth grades) were also assessed and used to control for sex differences in these traits. Overall, boys had stronger spatial abilities and more positive mathematics attitudes and were less anxious than girls, but there were no sex differences in mathematics achievement. Across grades, mathematics achievement improved, attitudes became less positive, and anxiety increased for both boys and girls. Higher than average cross-grade growth in mathematics achievement mitigated boys’ developmental declines in mathematics attitudes and increases in anxiety. Girls with strong spatial abilities had lower mathematics anxiety, but girls overall maintained higher mathematics anxiety and less positive mathematics attitudes relative to boys, even when they showed strong cross-grade gains in mathematics achievement. The study demonstrated that longitudinal gains in mathematics are associated with cross-grade changes in attitudes and anxiety but with several different developmental patterns for boys and girls. © 2023 American Psychological Association","mathematics achievement; mathematics anxiety; mathematics self-efficacy; mathematics utility; sex differences","","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85168840824"
"Johnson E.S.; Clohessy A.B.; Chakravarthy P.","Johnson, Evelyn S. (7404681270); Clohessy, Anne B. (57214046064); Chakravarthy, Pragnyaa (57218328497)","7404681270; 57214046064; 57218328497","A Self-Regulated Learner Framework for Students With Learning Disabilities and Math Anxiety","2021","Intervention in School and Clinic","56","3","","163","171","20","10.1177/1053451220942203","https://www.scopus.com/pages/publications/85088836672?origin=resultslist","Students with math learning disabilities have been shown to experience math anxiety at rates nearly double those of their typical peers. Anxiety about math is thought to disrupt learning by co-opting attentional resources that could be used in problem-solving and may be caused by the way in which students interpret their math-related experiences. This article describes a math intervention designed through a framework of self-regulated learning that defines self-regulated learners as students who are connected, self-aware, self-determined, strategic, and resilient. Specifically described is an intervention that helps students regulate anxiety, initiate a problem-solving strategy, and advocate as needed to use approaches they find effective. © Hammill Institute on Disabilities 2020.","cognitive flexibility; emotion regulation; math anxiety; math learning disability; self-regulation","","Article","Final","","Scopus","2-s2.0-85088836672"
"Švecová V.","Švecová, Valéria (57189368879)","57189368879","Math Anxiety and its Relation to the Success of Mathematical Problems","2024","TEM Journal","13","1","","207","212","4","10.18421/TEM131-21","https://www.scopus.com/pages/publications/85188608778?origin=resultslist","– Math anxiety is widespread problem described as worry and tension while doing mathematics. The aim of research is to determine whether there is a correlation between math anxiety and the performance of elementary school students in solving mathematical problems at the second level.. The theoretical part of the thesis contains information and empirical findings about math anxiety and solving mathematical problems. The research sample was comprised of 138 (46, 38 % girls and 53, 62 % boys) 9th grade elementary learners from Slovak republic. The data were collected by the questionnaire of our own design comprising: the modified abbreviated math anxiety scale, the state-trait anxiety inventory, and the math test. Quantitative data analysis methods included descriptive statistics and Spearman coefficient as a measurement of correlation between variables. The results have revealed that mathematics anxiety has significant correlation (R = - 0.401; p = 1, 09216.10–6, p < 0.01) with the success of mathematical problems and significant correlation (R = 0.608; p = 2, 44249.10–15, p < 0.01) with the mathematics achievement. 36, 23 % of the participants reported high math anxiety, and a further 18% were at least somewhat affected by it. The results confirm that the mAMAS questionnaire is an appropriate tool for determining the level of mathematical anxiety among pupils in Slovakia. © 2024 Valéria Švecová; published by UIKTEN. This work is licensed under the Creative Commons Attribution-NonCommercial-NoDerivs 4.0 License.","elementary school; Math anxiety; mathematical problems; student performance","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85188608778"
"Al-Mutawah M.A.; Afari E.; Khine M.S.; Eksail F.A.A.","Al-Mutawah, Masooma Ali (57211324010); Afari, Ernest (55157657600); Khine, Myint Swe (6603637360); Eksail, Fuad Ali Ahmed (57214325644)","57211324010; 55157657600; 6603637360; 57214325644","Learning environments domains and students’ mathematical achievement: Comparative evidence from GCC PISA 2022","2025","International Journal of School and Educational Psychology","13","3","","171","182","0","10.1080/21683603.2025.2491370","https://www.scopus.com/pages/publications/105002974591?origin=resultslist","Many factors within the learning environment interplay to shape student experiences and academic outcomes. Understanding and optimizing these elements can lead to environments that nurture not only academic success but also holistic personal growth and lifelong learning skills. The present study explored the relationship between learning environment factors (mathematics teacher support, feeling safe, cooperation, disciplinary climate) and student outcome (mathematics self-efficacy, mathematics anxiety, and mathematics achievement) among 39,204 students from some members of the Gulf Cooperation Council Countries (Saudi Arabia, United Arab Emirates, and Qatar) who took part in the 2022 Programme for International Student Assessment (PISA). The data analysis was conducted using the Partial Least Squares Structural Equation Modeling (PLS-SEM), and multi-group analysis was conducted using the Partial Least Squares Multi-Group Analysis (PLS-MGA). The results revealed that students’ perceptions of the learning environment were related to the non-cognitive outcomes of mathematics self-efficacy, mathematics anxiety, and mathematics achievement. The relationship between students’ perceptions of the learning environment and the non-cognitive outcomes, however, differed with respect to feeling safe and self-efficacy in Qatar and Saudi Arabia samples and UAE and Saudi Arabia samples. © 2025 International School Psychology Association (ISPA).","2022 programme for international student assessment (PISA); gulf cooperation countries; learning environments; structural equation modeling","","Article","Final","","Scopus","2-s2.0-105002974591"
"Szczygieł M.; Pieronkiewicz B.","Szczygieł, Monika (57000248500); Pieronkiewicz, Barbara (57199509069)","57000248500; 57199509069","Exploring the nature of math anxiety in young children: Intensity, prevalence, reasons","2022","Mathematical Thinking and Learning","24","3","","248","266","56","10.1080/10986065.2021.1882363","https://www.scopus.com/pages/publications/85100841073?origin=resultslist","According to previous findings, math anxiety already occurs at early school age and is negatively correlated with math achievement. So far, however, little is known about the nature of math anxiety in young children. To fill this gap, we present the results of a longitudinal study on the math anxiety of children that were followed in the first year of elementary school. We tested the level of math anxiety and its prevalence. We also investigated the reasons for math anxiety that were reported by the children at the beginning of elementary education. For this purpose, we adopted both individual-difference and developmental perspectives. The results show that first-grade students experienced mild math anxiety that peaked at the beginning of the school year. Most children experienced a low level of math anxiety; some of them were not anxious at all or experienced moderate anxiety, while only a few children were highly math anxious. The reasons for math anxiety that were most frequently reported by the students were associated with risk of failure, task difficulty, time pressure, and fear of receiving a bad grade. We discuss the obtained results in the context of actions aimed at improving the mathematical achievement of students. © 2021 Taylor & Francis Group, LLC.","early school age children; math anxiety","","Article","Final","","Scopus","2-s2.0-85100841073"
"Huang M.","Huang, Mengying (59941803800)","59941803800","Family support and teacher support in Vietnamese math education: Gendered pathways through math anxiety to math achievement based on PISA 2022","2026","Acta Psychologica","264","","106475","","","0","10.1016/j.actpsy.2026.106475","https://www.scopus.com/pages/publications/105033872933?origin=resultslist","This study investigated how gender, teacher support, family support, and mathematics anxiety jointly shape mathematics achievement among 6068 Vietnamese students using data from PISA 2022. Structural equation modeling revealed three key findings. First, teacher support played a dual role—it was directly associated with lower achievement, likely reflecting controlling instructional styles, yet it was indirectly linked to higher performance via its association with lower mathematics anxiety. Second, family support showed no significant direct association with achievement, but a significant indirect association was observed through its negative relationship with mathematics anxiety. Third, boys reported slightly higher teacher support and lower mathematics anxiety, alongside a modest advantage in mathematics achievement. These findings indicate that social support in the Vietnamese context, with its hierarchical classroom dynamics, can function both as pressure and protection. Theoretically, the study extends the Control-Value and Social Support theories by revealing dual mechanisms of support that align with the Vietnamese cultural context. Practically, it recommends promoting autonomy-supportive teaching and balanced family involvement to alleviate anxiety and reduce gender disparities in STEM learning. © 2026 The Author. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license. http://creativecommons.org/licenses/by-nc-nd/4.0/","Family support; Gender difference; Mathematics achievement; Mathematics anxiety; Mathematics teacher support; Vietnam mathematics education","Academic Success; Adolescent; Anxiety; Child; Family; Family Support; Female; Humans; Male; Mathematics; School Teachers; Sex Factors; Social Support; Southeast Asian People; Students; Vietnam; achievement; anxiety; article; child; education; family support; female; gender inequality; human; human experiment; learning; major clinical study; male; math anxiety; scanning transmission electron microscopy; sex difference; social support; structural equation modeling; teacher; teaching; Viet Nam; Vietnamese; academic success; adolescent; anxiety; education; family; family support; mathematics; psychology; school teacher; sex factor; social support; Southeast Asian; student; Viet Nam","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105033872933"
"Xiao H.; Yang J.; Zhang J.; Li H.; Yu X.","Xiao, Han (58265153000); Yang, Jingyuan (57668796800); Zhang, Jingyi (57218327093); Li, Huanyu (59969850600); Yu, Xiao (57211742851)","58265153000; 57668796800; 57218327093; 59969850600; 57211742851","Longitudinal relationship between mathematics learning engagement and children's mathematics achievement: Different roles of children's mathematics anxiety and positive parenting style","2025","Learning and Individual Differences","122","","102747","","","1","10.1016/j.lindif.2025.102747","https://www.scopus.com/pages/publications/105009462814?origin=resultslist","To clarify how individual factors (i.e., mathematics learning engagement and mathematics anxiety) and family environmental factors (i.e., parenting style) longitudinally contribute to children's mathematics achievement, 323 Chinese primary school children (Mage = 10.02 ± 0.88, 58.51 % girls) were measured at 3 times (June 2021, December 2021 and June 2022). After controlling for gender, age, and T1 mathematics achievement, children's T1 mathematics anxiety played a fully mediating role between T1 mathematics learning engagement and T2 (T3) mathematics achievement. T2 mathematics anxiety and T2 mathematics achievement played fully longitudinal chain mediating roles between T1 mathematics learning engagement and T3 mathematics achievement. Moreover, T2 positive parenting style moderated the path from children's T1 mathematics learning engagement to T2 mathematics anxiety, demonstrating the stress sensitization model of moderation. With China's new educational legislation, these findings provide a glimpse into the crucial mechanisms in the long-term associations related to children's mathematics learning. © 2025 Elsevier Inc.","Children's mathematics learning engagement; Longitudinal; Mathematics achievement; Mathematics anxiety; Positive parenting style","","Article","Final","","Scopus","2-s2.0-105009462814"
"Peng S.-L.; Cherng B.-L.; Chang L.-Y.","Peng, Shu-Ling (57154828400); Cherng, Biing-Lin (55857807300); Chang, Li-Yun (55569481500)","57154828400; 55857807300; 55569481500","Is academic anxiety good or bad for students? Investigating the moderating effects of anxiety on the reciprocal relations between self-efficacy and achievement in mathematics","2024","Motivation and Emotion","48","3","","484","503","2","10.1007/s11031-024-10072-3","https://www.scopus.com/pages/publications/85192727197?origin=resultslist","This longitudinal research, grounded in Bandura’s social cognitive theory, examined the cross-lagged relations between mathematics self-efficacy (MSE) and mathematics achievement (MACH), and tested how mathematics anxiety (MA) moderated these relations. Data from 777 Taiwanese seventh-graders on MSE, MA, and MACH were collected at multiple points throughout a school year. Structural equational modeling showed that (a) MSE and MACH were bidirectionally related over time, and (b) MA moderated the reciprocal relations between MSE and MACH. Specifically, lower MA amplified the positive association of MSE on MACH (i.e., students with lower MA and higher MSE scored higher in MACH), while higher MA attenuated the positive association. Conversely, higher MA boosted the positive association of MACH on MSE (i.e., students with higher MA and higher MACH reported higher MSE), whereas there was no such pattern among students with lower MA. These findings corroborate the reciprocal MSE-MACH interplay and underscore MA’s intriguing role in shaping learning trajectories depending on pathways between MSE and MACH. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Academic anxiety; Achievement; Mathematics; Self-efficacy; Social cognitive theory","","Article","Final","","Scopus","2-s2.0-85192727197"
"Ahmmed S.; Saha J.; Tamal M.A.; Abdullah Al Mamun K.; Islam S.","Ahmmed, Suman (24779200300); Saha, Jashodhan (57218921436); Tamal, Maruf Ahmed (57214225033); Abdullah Al Mamun, Khondaker (24447920400); Islam, Sajani (59476157500)","24779200300; 57218921436; 57214225033; 24447920400; 59476157500","Factors predicting the mathematics anxiety of adolescents: a structural equation modeling approach","2024","Frontiers in Psychiatry","15","","1484381","","","2","10.3389/fpsyt.2024.1484381","https://www.scopus.com/pages/publications/85212275803?origin=resultslist","Introduction: Mathematics anxiety (MA) is a distinct negative emotional state or trait that individuals experience when confronted with mathematical problems in everyday life and academic contexts. This study aims to identify the key predictors of MA among secondary-level students in Bangladesh. Methods: Utilizing a quantitative cross-sectional research design, data were collected from 486 students across 89 institutions. Later, the data were analyzed using Partial Least Squares Structural Equation Modeling (PLS-SEM). Results: The findings revealed that math related negative past experiences (β = 0.241, t = 4.914, p < 0.001) and a perceived lack of teacher support (β = 0.234, t = 5.440, p < 0.001) significantly contribute to students’ low self-efficacy in mathematics. This low self-efficacy is further influenced by negative attitudes and test anxiety, ultimately leading to increased MA (β = 0.694, t = 22.695, p < 0.001). Additionally, cognitive challenges, particularly working memory difficulties, directly affect MA (β = 0.110, t = 2.659, p = 0.008). The study also found that negative attitudes (β = 0.347, t = 9.063, p < 0.001) and test anxiety (β = 0.251, t = 5.913, p < 0.001) independently exacerbate MA. Moreover, a lack of motivation in learning mathematics is directly influenced by this elevated level of MA (β = 0.384, t = 9.939, p < 0.001). Discussion: Taken together, the study proposes several key recommendations and policy implications to inform the development of synchronized policies by educational authorities aimed at combatting, reducing MA among secondary-level students in Bangladesh and similar contexts. Copyright © 2024 Ahmmed, Saha, Tamal, Abdullah Al Mamun and Islam.","adolescents in Bangladesh; factors of mathematics anxiety; mathematics anxiety; mathematics performance; partial least squares structural equation modeling (PLS-SEM)","adolescent; anxiety; aphasia; Article; Bangladesh; behavior; cognition; cross-sectional study; demography; female; human; interrater reliability; learning; major clinical study; male; memory; model; partial least squares regression; prevalence; quantitative structure activity relation; scanning electron microscopy; sex difference; structural equation modeling; working memory","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85212275803"
"de Vera J.; Tundag M.D.; Codeniera N.J.; Vosotros A.; Ygoña M.; Peteros E.; Sacan E.; Toyco K.S.","de Vera, John (57610891600); Tundag, Maria Divina (60335028200); Codeniera, Niña Joy (60334169700); Vosotros, Avril (60335028300); Ygoña, Marvin (60334026300); Peteros, Emerson (57219873251); Sacan, Emma (59541591000); Toyco, Khaye Sea (60334599300)","57610891600; 60335028200; 60334169700; 60335028300; 60334026300; 57219873251; 59541591000; 60334599300","The mediating role of the student-teacher relationship in mathematics anxiety and achievement among students","2026","Multidisciplinary Reviews","9","7","e2026332","","","0","10.31893/multirev.2026332","https://www.scopus.com/pages/publications/105027581792?origin=resultslist","This research examined the mediating effect of the student-teacher relationship between students’ mathematics anxiety and achievement among Grade 10 students from four selected schools of the Cebu City Division for the school year 2024-2025 as the foundation for a strategic plan using a descriptive-correlational research design. A total of 526 students were selected using simple random sampling, following Cochran’s formula to ensure a representative sample with a 5% margin of error. The data gathered were analyzed using weighted mean, standard deviation, Pearson’s r, and multiple regression analysis. The results indicated that students displayed a moderate level of mathematics anxiety, a strongly positive student-teacher relationship, and satisfactory performance in mathematics. Correlation analysis revealed a negligible negative relationship between mathematics anxiety and achievement, a negligible positive relationship between the student-teacher relationship and achievement, and a negligible negative relationship between mathematics anxiety and the student-teacher relationship. Moreover, the findings suggested that while math anxiety negatively affects students’ performance, a strong student-teacher relationship can serve as a mediating factor in reducing its adverse effects. Thus, these results provide meaningful insights into the development of a strategic plan aimed at improving mathematics achievement through strengthened student-teacher relationships. The study’s outcomes underscore the perspectives of students toward mathematics and their academic performance, which provide valuable implications for supporting and enhancing learning through positive student-teacher interactions. © 2026, Malque Publishing. All rights reserved.","academic motivation; classroom climate; emotional support; learner engagement; teaching effectiveness","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105027581792"
"Svraka B.; Lasker J.; Ujma P.P.","Svraka, Bernadett (58114525900); Lasker, Jordan (57211969406); Ujma, Péter Przemyslaw (55937258200)","58114525900; 57211969406; 55937258200","Cognitive, affective and sociological predictors of school performance in mathematics","2024","Scientific Reports","14","1","26480","","","2","10.1038/s41598-024-77904-7","https://www.scopus.com/pages/publications/85208499065?origin=resultslist","Mathematics is a key school subject for some of the most lucrative and economically important careers. Low mathematics performance in school is associated with low psychometric intelligence, family socioeconomic status (SES), specific mathematical abilities, and high mathematics anxiety. We used a sample of Hungarian schoolchildren (N = 102, mean age = 12.3 years) to directly compare the predictive power of general intelligence, specific mathematical abilities measured by the Pedagogical Examination of Dyscalculia (DPV), mathematics anxiety, and socioeconomic status for mathematics grades. Mathematics grades correlated with IQ, specific mathematic ability, mathematics anxiety, and a composite measure of family SES. The WISC-IV showcased a manifest correlation of 0.62 and a latent correlation of 0.78 with the DPV and high manifest (r=-0.53) and latent (r=-0.59) correlations with mathematics anxiety. IQ alone accounted for 52% of the variance in mathematics grades. IQ, specific mathematical ability, family SES and mathematics anxiety jointly accounted for 56% of the variance in grades, with a non-significant contribution of specific mathematical ability and family SES over IQ and a marginal contribution of mathematics anxiety. Our results show that psychometric intelligence is the most important predictor of mathematics grades, while family SES and specific mathematical abilities are only associated with grades to the extent they reflect psychometric intelligence. The results, however, confirmed a small role of mathematics anxiety over intelligence in predicting grades. © The Author(s) 2024.","Dyscalculia; Family SES; General cognitive ability; Mathematics anxiety","Academic Performance; Adolescent; Anxiety; Child; Cognition; Dyscalculia; Female; Humans; Hungary; Intelligence; Male; Mathematics; Psychometrics; Schools; Social Class; academic achievement; adolescent; anxiety; child; cognition; dyscalculia; female; human; Hungary; intelligence; male; mathematics; physiology; procedures; psychology; psychometry; school; social class","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85208499065"
"Omar S.H.; Aris S.R.S.; Hoon T.S.","Omar, Siti Hawa (57941933900); Aris, Sharipah Ruzaina Syed (55377749700); Hoon, Teoh Sian (36158220800)","57941933900; 55377749700; 36158220800","Mathematics Anxiety and its Relationship with Mathematics Achievement among Secondary School Students","2022","Asian Journal of University Education","18","4","","863","878","4","10.24191/ajue.v18i4.19992","https://www.scopus.com/pages/publications/85140615458?origin=resultslist","Mathematics attainment has taken on a global focus for the furtherance of economic advancement, thus, magnetising for the appraisal of mathematical edification among school students. However, evidence suggests that mathematics anxiety is a salient contributing factor that obstructs success in mathematics. Drawing upon the evidence, this investigation explores the relationship between mathematics anxiety, performance and strategies that students perceived that could attenuate mathematics anxiety. Data from this study was collected using the mixed method approach of a survey and interview from forty-two Form One students with different levels of academic achievements from one school in Alor Setar, Kedah, Malaysia. All participants demonstrated a moderate level of mathematics anxiety. However, students from the low performance level displayed an inverse and strong relationship between mathematics anxiety and mathematics performance. This indicates that mathematics performance declines with augmented mathematics anxiety. The linear regression revealed that all the three factors of emotion, assessment, and environment are not statistically significant predictors of mathematics achievement. Regardless, emotion has been discerned as a significant predictor of mathematics anxiety for a high performance group of students. The interview revealed that students perceive games, cooperative groups, teaching aids, demonstration, rewards, and teachers with positive classroom attitude have contributed to overcoming mathematics anxiety. Results from this study suggest a strong relationship between anxiety and mathematics performance among low performing students which further indicated the importance for mathematics teachers to vary their teaching and learning activities in assisting students to cope with mathematics anxiety © 2022, Asian Journal of University Education.All Rights Reserved.","Learning activities; Mathematics anxiety; Mathematics performance","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85140615458"
"Szczygieł M.","Szczygieł, Monika (57000248500)","57000248500","Math Attitude and Math Anxiety of STEM Students Needs More Attention","2022","Polish Psychological Bulletin","53","3","","203","211","3","10.24425/ppb.2022.141868","https://www.scopus.com/pages/publications/85148031189?origin=resultslist","The issue of math attitude and math anxiety in STEM students has been till now overlooked. However, the issue occurring in many countries is students’ falling out of the STEM education system during their studies. One of the reasons for this problem may be high math anxiety and a negative math attitude among students. The present study fills a gap in knowledge about this phenomenon among STEM students. 371 Polish STEM students filled questionnaires of math attitude (MASA) and math anxiety (MAQA, SIMA, AMAS). The results are as follow: The mean results show that STEM students have a very positive math attitude in affective and cognitive dimensions and a rather positive math attitude in the behavioral area; On average, STEM students feel very weak anxiety related to math problem solving, weak general math anxiety and math learning anxiety, and a moderate level of math testing anxiety; Among STEM students there are those who present a very negative/negative math attitude and very strong/strong math anxiety; Women feel more intense anxiety related to math problem solving, but there is no gender gap in general math anxiety, math learning and math testing anxiety, and in math attitude. The results suggest that math attitude and math anxiety of STEM students should be monitored. Indeed, not all STEM students have a positive math attitude and feel no math anxiety. Moreover, proper interventions are recommended to decrease math anxiety and improve positive math attitude that in turn may prevent the students’ dropping out from STEM studies. © 2022 Polish Academy of Sciences. All rights reserved.","math anxiety; math attitude; STEM education; STEM students","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85148031189"
"Kilp-Kabel T.; Mädamürk K.","Kilp-Kabel, Triinu (58896086400); Mädamürk, Kaja (57189874920)","58896086400; 57189874920","Expectancies, values, and task persistence can alleviate the negative effects of math anxiety on math performance","2025","European Journal of Psychology of Education","40","1","17","","","2","10.1007/s10212-024-00928-0","https://www.scopus.com/pages/publications/85210496692?origin=resultslist","The current study was conducted to investigate the relationship between math anxiety and math achievement, highlighting differences in motivation based on age, and the mediating effects of task persistence as well as aspects of the expectancy-value theory. The students in the study (grade five N = 335, grade eight N = 251) were from Estonian schools and completed questionnaires about achievement motivation as well as math tasks during the 2021/2022 school year. Results showed that students in grade eight report lower scores in motivation when compared to students in grade five. Additionally, task persistence mediated the relationship between math anxiety and math achievement in grade five but not in grade eight. Self-efficacy, interest value, and effort cost mediated the relationship between math anxiety and math achievement in both grades five and eight, while attainment value and utility value did not. This indicates that the possible positive cognitive and affective effects aid in relieving, while effort cost may increase the negative effect of anxiety on math achievement. © Instituto Universitário de Ciências Psicológicas, Sociais e da Vida 2024.","Expectancy-value theory; Math achievement; Math anxiety; Motivation; Task persistence","","Article","Final","","Scopus","2-s2.0-85210496692"
"Lu Y.; Li Q.; Patrick H.; Mantzicopoulos P.","Lu, Yaheng (57212308094); Li, Qian (59620819600); Patrick, Helen (7006547153); Mantzicopoulos, Panayota (6603739681)","57212308094; 59620819600; 7006547153; 6603739681","“Math Gives Me a Tummy Ache!” Mathematics Anxiety in Kindergarten","2021","Journal of Experimental Education","89","2","","362","378","23","10.1080/00220973.2019.1680518","https://www.scopus.com/pages/publications/85076441378?origin=resultslist","We report on the construction and validation of the Young Children’s Math Anxiety Scale (YCMAX), a developmentally appropriate measure of math anxiety intended for kindergarten students. We administered the YCMAX to a sample of public school kindergarteners (N = 355) and conducted factor analyses to examine its structure. A two-factor solution (Worry and Somatization) best fit the data. Children with higher, compared to lower, Worry and Somatization scores had lower math achievement, reported feeling less competent at math, liked math less, and were evaluated by their teachers as less interested in and needing more support for learning math. In addition, we documented children’s experiences with math tests using three open-ended questions. More than half of the children (n = 216, 61%) commented on their math tests, including test procedures, test content, and test results. Children who felt negatively about math tests expressed more worry and, particularly, more somatization compared to those with positive feelings about math tests. The results indicated that the YCMAX scores were internally consistent and demonstrated construct validity, thus supporting the instrument’s utility for research on math anxiety in the early grades. © 2019 Taylor & Francis Group, LLC.","math achievement; Math anxiety; measurement; motivation for math; young children","","Article","Final","","Scopus","2-s2.0-85076441378"
"Živković M.; Pellizzoni S.; Doz E.; Cuder A.; Mammarella I.; Passolunghi M.C.","Živković, Marija (57435213000); Pellizzoni, Sandra (25960946300); Doz, Eleonora (57225918601); Cuder, Alessandro (57256567700); Mammarella, Irene (6508143157); Passolunghi, Maria Chiara (56047533700)","57435213000; 25960946300; 57225918601; 57256567700; 6508143157; 56047533700","Math self-efficacy or anxiety? The role of emotional and motivational contribution in math performance","2023","Social Psychology of Education","26","3","","579","601","57","10.1007/s11218-023-09760-8","https://www.scopus.com/pages/publications/85146629610?origin=resultslist","Various studies have highlighted the important influence of math ability in a numerate society. In this study, we investigated the influence of emotional (math anxiety and math enjoyment) and cognitive-motivational (math self-efficacy) factors on math performance. Participants were 145 fifth-grade students (84 boys and 61 girls). The results showed that math performance was negatively correlated with math anxiety and positively correlated with math enjoyment and math self-efficacy. Moreover, math anxiety was negatively associated with enjoyment in math and math self-efficacy, whereas math enjoyment was positively correlated with math self-efficacy. Hierarchical regression analysis showed a significant influence of math anxiety and math self-efficacy on math performance in fifth-grade students. Results are discussed in terms of a new perspective in emotional and motivational factors to train in school contexts. © 2023, The Author(s).","Anxiety; Enjoyment; Math performance; Primary school students; Self-efficacy","","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85146629610"
